date,top_sum
1993-06-01,1.13E+12
1993-11-01,1.49E+12
1994-06-01,2.32E+12
1994-11-01,2.73E+12
1995-06-01,3.93E+12
1995-11-01,4.78E+12
1996-06-01,5.89E+12
1996-11-01,7.98E+12
1997-06-01,1.28E+13
1997-11-01,1.69E+13
1998-06-01,2.26E+13
1998-11-01,2.94E+13
1999-06-01,3.91E+13
1999-11-01,5.09E+13
2000-06-01,6.42E+13
2000-11-01,8.81E+13
2001-06-01,1.08E+14
2001-11-01,1.35E+14
2002-06-01,2.22E+14
2002-11-01,2.92E+14
2003-06-01,3.70E+14
2003-11-01,5.27E+14
2004-06-01,8.12E+14
2004-11-01,1.13E+15
2005-06-01,1.69E+15
2005-11-01,2.30E+15
2006-06-01,2.79E+15
2006-11-01,3.53E+15
2007-06-01,4.95E+15
2007-11-01,6.98E+15
2008-06-01,1.22E+16
2008-11-01,1.74E+16
2009-06-01,2.26E+16
2009-11-01,2.80E+16
2010-06-01,3.24E+16
2010-11-01,4.38E+16
2011-06-01,5.89E+16
2011-11-01,7.41E+16
2012-06-01,1.23E+17
2012-11-01,1.62E+17
2013-06-01,2.29E+17
2013-11-01,2.55E+17
2014-06-01,2.79E+17
2014-11-01,3.13E+17
2015-06-01,3.64E+17
2015-11-01,4.23E+17
2016-06-01,5.72E+17
2016-11-01,6.77E+17
2017-06-01,7.53E+17
2017-11-01,8.50E+17
2018-06-01,1.21E+18
2018-11-01,1.41E+18
2019-06-01,1.56E+18
2019-11-01,1.65E+18
2020-06-01,2.21E+18
2020-11-01,2.43E+18
2021-06-01,2.79E+18
2021-11-01,3.04E+18
